time,num,unit
2026-09-08T16:40:49.314110,86.46,度
2026-09-08T16:58:54.974239,593.62,度
2026-09-09T01:09:10.931683,592.31,度
2026-09-09T13:49:26.669211,588.84,度
2026-09-09T20:14:36.453592,588.84,度
2026-09-10T01:06:23.731352,586.49,度
2026-09-10T13:43:24.825918,584.42,度
2026-09-10T20:09:22.110304,584.42,度
2026-09-11T00:57:34.093807,582.87,度
2026-09-11T13:42:34.869156,580.82,度
2026-09-11T20:06:28.261518,580.82,度
2026-09-12T00:59:17.322984,577.74,度
2026-09-12T13:30:23.852310,575.87,度
2026-09-12T19:33:19.275012,575.87,度
2026-09-13T00:06:31.363526,573.75,度
2026-09-13T13:45:50.972655,571.79,度
2026-09-13T20:37:53.588758,571.79,度
2026-09-14T00:55:04.672935,569.16,度
2026-09-14T13:56:52.932874,566.77,度
2026-09-14T21:46:16.029150,566.77,度
2026-09-15T13:58:47.921987,563.05,度
2026-09-15T20:33:23.818092,563.05,度
2026-09-16T01:33:33.066063,562.25,度
2026-09-16T13:44:45.603471,560.68,度
2026-09-16T20:30:49.807759,560.68,度
2026-09-17T01:33:48.080106,558.7,度
2026-09-17T13:54:09.770693,556.37,度
2026-09-17T20:30:22.770860,556.37,度
2026-09-18T01:33:44.136962,554.5,度
2026-09-18T13:38:53.913639,552.46,度
2026-09-18T20:08:55.750909,552.46,度
2026-09-19T01:01:14.986473,550.98,度
2026-09-19T13:34:48.791312,548.87,度
2026-09-19T19:51:56.788302,548.87,度
2026-09-20T00:20:20.861426,546.5,度
2026-09-20T13:52:09.394622,544.54,度
2026-09-20T20:07:02.428966,544.54,度
2026-09-21T00:45:01.168959,543.12,度
2026-09-21T14:01:19.865223,541.1,度
2026-09-21T21:45:12.254624,541.1,度
2026-09-22T13:57:39.654844,539.1,度
2026-09-22T20:28:12.343598,539.1,度
2026-09-23T01:48:56.910047,538.5,度
2026-09-23T13:38:53.872771,536.79,度
2026-09-23T20:39:42.993975,536.79,度
2026-09-24T01:47:51.210482,534.67,度
